architecture,seed,stage,task,iid_exact_accuracy,iid_well_formed_rate,magnitude_ood_exact_accuracy,magnitude_ood_well_formed_rate,token_length_ood_exact_accuracy,token_length_ood_well_formed_rate,overall_ood_exact_accuracy,overall_ood_well_formed_rate,ood_most_common_target_baseline,iid_evaluation_data,ood_evaluation_data
mlp,17,4,greatest_common_divisor,0.9004,1.0,0.677,1.0,0.042,0.4935,0.169,0.5948,0.6104,evaluation_manifest_sha256:0c1115a23fda2ba5b66f29e52f4cb052502073a49d5c4fe2e3e1344259d08f5d,evaluation_manifest_sha256:7d088f777ffc34ab09d41534d4d9b20fe0d4f19ccd2696cb7b563d000374e739
mlp,17,4,multiplication,0.2396,1.0,0.0,0.578,0.0,0.077,0.0,0.1772,0.0002,evaluation_manifest_sha256:0c1115a23fda2ba5b66f29e52f4cb052502073a49d5c4fe2e3e1344259d08f5d,evaluation_manifest_sha256:7d088f777ffc34ab09d41534d4d9b20fe0d4f19ccd2696cb7b563d000374e739
mlp,17,4,greater_than,0.9882,1.0,0.867,0.996,0.004,0.11125,0.1766,0.2882,0.5,evaluation_manifest_sha256:0c1115a23fda2ba5b66f29e52f4cb052502073a49d5c4fe2e3e1344259d08f5d,evaluation_manifest_sha256:7d088f777ffc34ab09d41534d4d9b20fe0d4f19ccd2696cb7b563d000374e739
mlp,17,8,decimal_digit_sum,0.9414,0.9998,0.139,0.998,0.0,0.0,0.0278,0.1996,0.0404,evaluation_manifest_sha256:0c1115a23fda2ba5b66f29e52f4cb052502073a49d5c4fe2e3e1344259d08f5d,evaluation_manifest_sha256:7d088f777ffc34ab09d41534d4d9b20fe0d4f19ccd2696cb7b563d000374e739
mlp,17,8,greatest_common_divisor,0.8864,1.0,0.484,1.0,0.0,0.0,0.0968,0.2,0.6104,evaluation_manifest_sha256:0c1115a23fda2ba5b66f29e52f4cb052502073a49d5c4fe2e3e1344259d08f5d,evaluation_manifest_sha256:7d088f777ffc34ab09d41534d4d9b20fe0d4f19ccd2696cb7b563d000374e739
mlp,17,8,multiplication,0.2132,1.0,0.0,0.845,0.0,0.045,0.0,0.205,0.0002,evaluation_manifest_sha256:0c1115a23fda2ba5b66f29e52f4cb052502073a49d5c4fe2e3e1344259d08f5d,evaluation_manifest_sha256:7d088f777ffc34ab09d41534d4d9b20fe0d4f19ccd2696cb7b563d000374e739
mlp,17,8,greater_than,0.9726,1.0,0.628,1.0,0.0005,0.01,0.126,0.208,0.5,evaluation_manifest_sha256:0c1115a23fda2ba5b66f29e52f4cb052502073a49d5c4fe2e3e1344259d08f5d,evaluation_manifest_sha256:7d088f777ffc34ab09d41534d4d9b20fe0d4f19ccd2696cb7b563d000374e739
mlp,17,8,integer_list_sum,0.1034,0.998,0.0,0.851,0.0,0.32775,0.0,0.4324,0.0002,evaluation_manifest_sha256:0c1115a23fda2ba5b66f29e52f4cb052502073a49d5c4fe2e3e1344259d08f5d,evaluation_manifest_sha256:7d088f777ffc34ab09d41534d4d9b20fe0d4f19ccd2696cb7b563d000374e739
mlp,17,8,modulo,0.6548,1.0,0.0,0.765,0.0,0.02,0.0,0.169,0.0004,evaluation_manifest_sha256:0c1115a23fda2ba5b66f29e52f4cb052502073a49d5c4fe2e3e1344259d08f5d,evaluation_manifest_sha256:7d088f777ffc34ab09d41534d4d9b20fe0d4f19ccd2696cb7b563d000374e739
mlp,17,8,addition,0.3734,1.0,0.0,0.996,0.0,0.024,0.0,0.2184,0.0002,evaluation_manifest_sha256:0c1115a23fda2ba5b66f29e52f4cb052502073a49d5c4fe2e3e1344259d08f5d,evaluation_manifest_sha256:7d088f777ffc34ab09d41534d4d9b20fe0d4f19ccd2696cb7b563d000374e739
mlp,17,8,successor,0.9918,1.0,0.074,0.989,0.0,0.0,0.0148,0.1978,0.0004,evaluation_manifest_sha256:0c1115a23fda2ba5b66f29e52f4cb052502073a49d5c4fe2e3e1344259d08f5d,evaluation_manifest_sha256:7d088f777ffc34ab09d41534d4d9b20fe0d4f19ccd2696cb7b563d000374e739
mlp,17,16,decimal_digit_sum,0.8414,1.0,0.101,1.0,0.0,0.0,0.0202,0.2,0.0426,evaluation_data_sha256:3ceb5e0d578a102623cd15cb65958b678e3af13f8d44304c9d316f07818a5ab8,evaluation_data_sha256:402eab4e9e30fd6f84676378af9c0f9ad8f103d83c7ce2ad1a6d443e8fd6fc08
mlp,17,16,greatest_common_divisor,0.873,1.0,0.478,0.997,0.0,0.0015,0.0956,0.2006,0.6228,evaluation_data_sha256:3ceb5e0d578a102623cd15cb65958b678e3af13f8d44304c9d316f07818a5ab8,evaluation_data_sha256:402eab4e9e30fd6f84676378af9c0f9ad8f103d83c7ce2ad1a6d443e8fd6fc08
mlp,17,16,multiplication,0.2012,1.0,0.0,1.0,0.0,0.33025,0.0,0.4642,0.0002,evaluation_data_sha256:3ceb5e0d578a102623cd15cb65958b678e3af13f8d44304c9d316f07818a5ab8,evaluation_data_sha256:402eab4e9e30fd6f84676378af9c0f9ad8f103d83c7ce2ad1a6d443e8fd6fc08
mlp,17,16,greater_than,0.9604,1.0,0.375,1.0,0.21575,0.50625,0.2476,0.605,0.5,evaluation_data_sha256:3ceb5e0d578a102623cd15cb65958b678e3af13f8d44304c9d316f07818a5ab8,evaluation_data_sha256:402eab4e9e30fd6f84676378af9c0f9ad8f103d83c7ce2ad1a6d443e8fd6fc08
mlp,17,16,integer_list_sum,0.0626,0.999,0.0,1.0,0.0,0.356,0.0,0.4848,0.0002,evaluation_data_sha256:3ceb5e0d578a102623cd15cb65958b678e3af13f8d44304c9d316f07818a5ab8,evaluation_data_sha256:402eab4e9e30fd6f84676378af9c0f9ad8f103d83c7ce2ad1a6d443e8fd6fc08
mlp,17,16,modulo,0.5466,1.0,0.139,1.0,0.0,0.4325,0.0278,0.546,0.0004,evaluation_data_sha256:3ceb5e0d578a102623cd15cb65958b678e3af13f8d44304c9d316f07818a5ab8,evaluation_data_sha256:402eab4e9e30fd6f84676378af9c0f9ad8f103d83c7ce2ad1a6d443e8fd6fc08
mlp,17,16,addition,0.257,1.0,0.0,0.997,0.0,0.322,0.0,0.457,0.0002,evaluation_data_sha256:3ceb5e0d578a102623cd15cb65958b678e3af13f8d44304c9d316f07818a5ab8,evaluation_data_sha256:402eab4e9e30fd6f84676378af9c0f9ad8f103d83c7ce2ad1a6d443e8fd6fc08
mlp,17,16,successor,0.9696,1.0,0.004,0.995,0.0,0.0,0.0008,0.199,0.0002,evaluation_data_sha256:3ceb5e0d578a102623cd15cb65958b678e3af13f8d44304c9d316f07818a5ab8,evaluation_data_sha256:402eab4e9e30fd6f84676378af9c0f9ad8f103d83c7ce2ad1a6d443e8fd6fc08
mlp,42,1,decimal_digit_sum,1.0,1.0,0.981,1.0,0.00025,0.143,0.1964,0.3144,0.0404,evaluation_manifest_sha256:0c1115a23fda2ba5b66f29e52f4cb052502073a49d5c4fe2e3e1344259d08f5d,evaluation_manifest_sha256:7d088f777ffc34ab09d41534d4d9b20fe0d4f19ccd2696cb7b563d000374e739
mlp,42,2,decimal_digit_sum,1.0,1.0,0.965,1.0,0.0,0.0,0.193,0.2,0.0404,evaluation_manifest_sha256:0c1115a23fda2ba5b66f29e52f4cb052502073a49d5c4fe2e3e1344259d08f5d,evaluation_manifest_sha256:7d088f777ffc34ab09d41534d4d9b20fe0d4f19ccd2696cb7b563d000374e739
mlp,42,2,greatest_common_divisor,0.9378,1.0,0.838,1.0,0.0,0.0,0.1676,0.2,0.6104,evaluation_manifest_sha256:0c1115a23fda2ba5b66f29e52f4cb052502073a49d5c4fe2e3e1344259d08f5d,evaluation_manifest_sha256:7d088f777ffc34ab09d41534d4d9b20fe0d4f19ccd2696cb7b563d000374e739
mlp,42,4,decimal_digit_sum,0.9996,1.0,0.795,1.0,0.0,0.02075,0.159,0.2166,0.0404,evaluation_manifest_sha256:0c1115a23fda2ba5b66f29e52f4cb052502073a49d5c4fe2e3e1344259d08f5d,evaluation_manifest_sha256:7d088f777ffc34ab09d41534d4d9b20fe0d4f19ccd2696cb7b563d000374e739
mlp,42,4,greatest_common_divisor,0.901,1.0,0.735,1.0,0.0,0.0,0.147,0.2,0.6104,evaluation_manifest_sha256:0c1115a23fda2ba5b66f29e52f4cb052502073a49d5c4fe2e3e1344259d08f5d,evaluation_manifest_sha256:7d088f777ffc34ab09d41534d4d9b20fe0d4f19ccd2696cb7b563d000374e739
mlp,42,4,multiplication,0.2478,1.0,0.0,0.498,0.0,0.0525,0.0,0.1416,0.0002,evaluation_manifest_sha256:0c1115a23fda2ba5b66f29e52f4cb052502073a49d5c4fe2e3e1344259d08f5d,evaluation_manifest_sha256:7d088f777ffc34ab09d41534d4d9b20fe0d4f19ccd2696cb7b563d000374e739
mlp,42,4,greater_than,0.989,1.0,0.903,0.998,0.0025,0.028,0.1826,0.222,0.5,evaluation_manifest_sha256:0c1115a23fda2ba5b66f29e52f4cb052502073a49d5c4fe2e3e1344259d08f5d,evaluation_manifest_sha256:7d088f777ffc34ab09d41534d4d9b20fe0d4f19ccd2696cb7b563d000374e739
mlp,42,8,decimal_digit_sum,0.9762,1.0,0.581,0.996,0.0,0.00275,0.1162,0.2014,0.0404,evaluation_manifest_sha256:0c1115a23fda2ba5b66f29e52f4cb052502073a49d5c4fe2e3e1344259d08f5d,evaluation_manifest_sha256:7d088f777ffc34ab09d41534d4d9b20fe0d4f19ccd2696cb7b563d000374e739
mlp,42,8,greatest_common_divisor,0.8772,1.0,0.477,1.0,0.0,0.0945,0.0954,0.2756,0.6104,evaluation_manifest_sha256:0c1115a23fda2ba5b66f29e52f4cb052502073a49d5c4fe2e3e1344259d08f5d,evaluation_manifest_sha256:7d088f777ffc34ab09d41534d4d9b20fe0d4f19ccd2696cb7b563d000374e739
mlp,42,8,multiplication,0.2178,1.0,0.0,0.59,0.0,0.18775,0.0,0.2682,0.0002,evaluation_manifest_sha256:0c1115a23fda2ba5b66f29e52f4cb052502073a49d5c4fe2e3e1344259d08f5d,evaluation_manifest_sha256:7d088f777ffc34ab09d41534d4d9b20fe0d4f19ccd2696cb7b563d000374e739
mlp,42,8,greater_than,0.9786,1.0,0.534,1.0,0.08875,0.50625,0.1778,0.605,0.5,evaluation_manifest_sha256:0c1115a23fda2ba5b66f29e52f4cb052502073a49d5c4fe2e3e1344259d08f5d,evaluation_manifest_sha256:7d088f777ffc34ab09d41534d4d9b20fe0d4f19ccd2696cb7b563d000374e739
mlp,42,8,integer_list_sum,0.1188,0.9998,0.0,0.714,0.0,0.2865,0.0,0.372,0.0002,evaluation_manifest_sha256:0c1115a23fda2ba5b66f29e52f4cb052502073a49d5c4fe2e3e1344259d08f5d,evaluation_manifest_sha256:7d088f777ffc34ab09d41534d4d9b20fe0d4f19ccd2696cb7b563d000374e739
mlp,42,8,modulo,0.6416,0.9998,0.037,0.992,0.0,0.28325,0.0074,0.425,0.0004,evaluation_manifest_sha256:0c1115a23fda2ba5b66f29e52f4cb052502073a49d5c4fe2e3e1344259d08f5d,evaluation_manifest_sha256:7d088f777ffc34ab09d41534d4d9b20fe0d4f19ccd2696cb7b563d000374e739
mlp,42,8,addition,0.399,1.0,0.0,0.793,0.0,0.22625,0.0,0.3396,0.0002,evaluation_manifest_sha256:0c1115a23fda2ba5b66f29e52f4cb052502073a49d5c4fe2e3e1344259d08f5d,evaluation_manifest_sha256:7d088f777ffc34ab09d41534d4d9b20fe0d4f19ccd2696cb7b563d000374e739
mlp,42,8,successor,0.992,1.0,0.079,0.981,0.0,0.0135,0.0158,0.207,0.0004,evaluation_manifest_sha256:0c1115a23fda2ba5b66f29e52f4cb052502073a49d5c4fe2e3e1344259d08f5d,evaluation_manifest_sha256:7d088f777ffc34ab09d41534d4d9b20fe0d4f19ccd2696cb7b563d000374e739
mlp,42,16,decimal_digit_sum,0.837,1.0,0.119,1.0,0.001,0.1325,0.0246,0.306,0.0426,evaluation_data_sha256:3ceb5e0d578a102623cd15cb65958b678e3af13f8d44304c9d316f07818a5ab8,evaluation_data_sha256:402eab4e9e30fd6f84676378af9c0f9ad8f103d83c7ce2ad1a6d443e8fd6fc08
mlp,42,16,greatest_common_divisor,0.8772,1.0,0.583,1.0,0.0005,0.00575,0.117,0.2046,0.6228,evaluation_data_sha256:3ceb5e0d578a102623cd15cb65958b678e3af13f8d44304c9d316f07818a5ab8,evaluation_data_sha256:402eab4e9e30fd6f84676378af9c0f9ad8f103d83c7ce2ad1a6d443e8fd6fc08
mlp,42,16,multiplication,0.201,0.993,0.0,0.952,0.0,0.31325,0.0,0.441,0.0002,evaluation_data_sha256:3ceb5e0d578a102623cd15cb65958b678e3af13f8d44304c9d316f07818a5ab8,evaluation_data_sha256:402eab4e9e30fd6f84676378af9c0f9ad8f103d83c7ce2ad1a6d443e8fd6fc08
mlp,42,16,greater_than,0.9672,1.0,0.746,1.0,0.24175,0.54375,0.3426,0.635,0.5,evaluation_data_sha256:3ceb5e0d578a102623cd15cb65958b678e3af13f8d44304c9d316f07818a5ab8,evaluation_data_sha256:402eab4e9e30fd6f84676378af9c0f9ad8f103d83c7ce2ad1a6d443e8fd6fc08
mlp,42,16,integer_list_sum,0.0612,0.999,0.0,0.858,0.0,0.2895,0.0,0.4032,0.0002,evaluation_data_sha256:3ceb5e0d578a102623cd15cb65958b678e3af13f8d44304c9d316f07818a5ab8,evaluation_data_sha256:402eab4e9e30fd6f84676378af9c0f9ad8f103d83c7ce2ad1a6d443e8fd6fc08
mlp,42,16,modulo,0.4692,1.0,0.0,1.0,0.0,0.2365,0.0,0.3892,0.0004,evaluation_data_sha256:3ceb5e0d578a102623cd15cb65958b678e3af13f8d44304c9d316f07818a5ab8,evaluation_data_sha256:402eab4e9e30fd6f84676378af9c0f9ad8f103d83c7ce2ad1a6d443e8fd6fc08
mlp,42,16,addition,0.2456,1.0,0.0,0.454,0.0,0.24625,0.0,0.2878,0.0002,evaluation_data_sha256:3ceb5e0d578a102623cd15cb65958b678e3af13f8d44304c9d316f07818a5ab8,evaluation_data_sha256:402eab4e9e30fd6f84676378af9c0f9ad8f103d83c7ce2ad1a6d443e8fd6fc08
mlp,42,16,successor,0.9534,1.0,0.0,0.999,0.0,0.00475,0.0,0.2036,0.0002,evaluation_data_sha256:3ceb5e0d578a102623cd15cb65958b678e3af13f8d44304c9d316f07818a5ab8,evaluation_data_sha256:402eab4e9e30fd6f84676378af9c0f9ad8f103d83c7ce2ad1a6d443e8fd6fc08
mlp,314159,1,decimal_digit_sum,1.0,1.0,0.964,1.0,0.0005,0.24,0.1932,0.392,0.0404,evaluation_manifest_sha256:0c1115a23fda2ba5b66f29e52f4cb052502073a49d5c4fe2e3e1344259d08f5d,evaluation_manifest_sha256:7d088f777ffc34ab09d41534d4d9b20fe0d4f19ccd2696cb7b563d000374e739
mlp,314159,2,decimal_digit_sum,0.9998,1.0,0.973,1.0,0.0,0.38075,0.1946,0.5046,0.0404,evaluation_manifest_sha256:0c1115a23fda2ba5b66f29e52f4cb052502073a49d5c4fe2e3e1344259d08f5d,evaluation_manifest_sha256:7d088f777ffc34ab09d41534d4d9b20fe0d4f19ccd2696cb7b563d000374e739
mlp,314159,2,greatest_common_divisor,0.9372,1.0,0.838,1.0,0.077,0.5,0.2292,0.6,0.6104,evaluation_manifest_sha256:0c1115a23fda2ba5b66f29e52f4cb052502073a49d5c4fe2e3e1344259d08f5d,evaluation_manifest_sha256:7d088f777ffc34ab09d41534d4d9b20fe0d4f19ccd2696cb7b563d000374e739
mlp,314159,4,decimal_digit_sum,0.9988,1.0,0.221,1.0,0.0,0.0,0.0442,0.2,0.0404,evaluation_manifest_sha256:0c1115a23fda2ba5b66f29e52f4cb052502073a49d5c4fe2e3e1344259d08f5d,evaluation_manifest_sha256:7d088f777ffc34ab09d41534d4d9b20fe0d4f19ccd2696cb7b563d000374e739
mlp,314159,4,greatest_common_divisor,0.9018,1.0,0.671,1.0,0.0085,0.11,0.141,0.288,0.6104,evaluation_manifest_sha256:0c1115a23fda2ba5b66f29e52f4cb052502073a49d5c4fe2e3e1344259d08f5d,evaluation_manifest_sha256:7d088f777ffc34ab09d41534d4d9b20fe0d4f19ccd2696cb7b563d000374e739
mlp,314159,4,multiplication,0.2444,1.0,0.0,0.986,0.0,0.2595,0.0,0.4048,0.0002,evaluation_manifest_sha256:0c1115a23fda2ba5b66f29e52f4cb052502073a49d5c4fe2e3e1344259d08f5d,evaluation_manifest_sha256:7d088f777ffc34ab09d41534d4d9b20fe0d4f19ccd2696cb7b563d000374e739
mlp,314159,4,greater_than,0.9896,1.0,0.899,1.0,0.0,0.0045,0.1798,0.2036,0.5,evaluation_manifest_sha256:0c1115a23fda2ba5b66f29e52f4cb052502073a49d5c4fe2e3e1344259d08f5d,evaluation_manifest_sha256:7d088f777ffc34ab09d41534d4d9b20fe0d4f19ccd2696cb7b563d000374e739
mlp,314159,8,decimal_digit_sum,0.917,1.0,0.286,0.997,0.0,0.00425,0.0572,0.2028,0.0404,evaluation_manifest_sha256:0c1115a23fda2ba5b66f29e52f4cb052502073a49d5c4fe2e3e1344259d08f5d,evaluation_manifest_sha256:7d088f777ffc34ab09d41534d4d9b20fe0d4f19ccd2696cb7b563d000374e739
mlp,314159,8,greatest_common_divisor,0.8874,1.0,0.567,1.0,0.0,0.0,0.1134,0.2,0.6104,evaluation_manifest_sha256:0c1115a23fda2ba5b66f29e52f4cb052502073a49d5c4fe2e3e1344259d08f5d,evaluation_manifest_sha256:7d088f777ffc34ab09d41534d4d9b20fe0d4f19ccd2696cb7b563d000374e739
mlp,314159,8,multiplication,0.2106,1.0,0.0,0.893,0.0,0.49925,0.0,0.578,0.0002,evaluation_manifest_sha256:0c1115a23fda2ba5b66f29e52f4cb052502073a49d5c4fe2e3e1344259d08f5d,evaluation_manifest_sha256:7d088f777ffc34ab09d41534d4d9b20fe0d4f19ccd2696cb7b563d000374e739
mlp,314159,8,greater_than,0.9704,1.0,0.7,1.0,0.014,0.499,0.1512,0.5992,0.5,evaluation_manifest_sha256:0c1115a23fda2ba5b66f29e52f4cb052502073a49d5c4fe2e3e1344259d08f5d,evaluation_manifest_sha256:7d088f777ffc34ab09d41534d4d9b20fe0d4f19ccd2696cb7b563d000374e739
mlp,314159,8,integer_list_sum,0.1,0.9972,0.0,0.866,0.0,0.11675,0.0,0.2666,0.0002,evaluation_manifest_sha256:0c1115a23fda2ba5b66f29e52f4cb052502073a49d5c4fe2e3e1344259d08f5d,evaluation_manifest_sha256:7d088f777ffc34ab09d41534d4d9b20fe0d4f19ccd2696cb7b563d000374e739
mlp,314159,8,modulo,0.6354,1.0,0.125,0.999,0.0,0.4995,0.025,0.5994,0.0004,evaluation_manifest_sha256:0c1115a23fda2ba5b66f29e52f4cb052502073a49d5c4fe2e3e1344259d08f5d,evaluation_manifest_sha256:7d088f777ffc34ab09d41534d4d9b20fe0d4f19ccd2696cb7b563d000374e739
mlp,314159,8,addition,0.3916,1.0,0.0,0.976,0.0,0.4995,0.0,0.5948,0.0002,evaluation_manifest_sha256:0c1115a23fda2ba5b66f29e52f4cb052502073a49d5c4fe2e3e1344259d08f5d,evaluation_manifest_sha256:7d088f777ffc34ab09d41534d4d9b20fe0d4f19ccd2696cb7b563d000374e739
mlp,314159,8,successor,0.9914,1.0,0.007,0.995,0.0,0.002,0.0014,0.2006,0.0004,evaluation_manifest_sha256:0c1115a23fda2ba5b66f29e52f4cb052502073a49d5c4fe2e3e1344259d08f5d,evaluation_manifest_sha256:7d088f777ffc34ab09d41534d4d9b20fe0d4f19ccd2696cb7b563d000374e739
mlp,314159,16,decimal_digit_sum,0.8226,1.0,0.146,0.998,0.0,0.00025,0.0292,0.1998,0.0426,evaluation_data_sha256:3ceb5e0d578a102623cd15cb65958b678e3af13f8d44304c9d316f07818a5ab8,evaluation_data_sha256:402eab4e9e30fd6f84676378af9c0f9ad8f103d83c7ce2ad1a6d443e8fd6fc08
mlp,314159,16,greatest_common_divisor,0.8678,1.0,0.555,1.0,0.0,0.006,0.111,0.2048,0.6228,evaluation_data_sha256:3ceb5e0d578a102623cd15cb65958b678e3af13f8d44304c9d316f07818a5ab8,evaluation_data_sha256:402eab4e9e30fd6f84676378af9c0f9ad8f103d83c7ce2ad1a6d443e8fd6fc08
mlp,314159,16,multiplication,0.2018,1.0,0.0,0.817,0.0,0.54975,0.0,0.6032,0.0002,evaluation_data_sha256:3ceb5e0d578a102623cd15cb65958b678e3af13f8d44304c9d316f07818a5ab8,evaluation_data_sha256:402eab4e9e30fd6f84676378af9c0f9ad8f103d83c7ce2ad1a6d443e8fd6fc08
mlp,314159,16,greater_than,0.9112,1.0,0.802,1.0,0.24325,0.9485,0.355,0.9588,0.5,evaluation_data_sha256:3ceb5e0d578a102623cd15cb65958b678e3af13f8d44304c9d316f07818a5ab8,evaluation_data_sha256:402eab4e9e30fd6f84676378af9c0f9ad8f103d83c7ce2ad1a6d443e8fd6fc08
mlp,314159,16,integer_list_sum,0.0456,0.9998,0.0,0.978,0.0,0.48725,0.0,0.5854,0.0002,evaluation_data_sha256:3ceb5e0d578a102623cd15cb65958b678e3af13f8d44304c9d316f07818a5ab8,evaluation_data_sha256:402eab4e9e30fd6f84676378af9c0f9ad8f103d83c7ce2ad1a6d443e8fd6fc08
mlp,314159,16,modulo,0.3252,1.0,0.0,0.998,0.0,0.912,0.0,0.9292,0.0004,evaluation_data_sha256:3ceb5e0d578a102623cd15cb65958b678e3af13f8d44304c9d316f07818a5ab8,evaluation_data_sha256:402eab4e9e30fd6f84676378af9c0f9ad8f103d83c7ce2ad1a6d443e8fd6fc08
mlp,314159,16,addition,0.2584,0.9996,0.0,0.831,0.0,0.98125,0.0,0.9512,0.0002,evaluation_data_sha256:3ceb5e0d578a102623cd15cb65958b678e3af13f8d44304c9d316f07818a5ab8,evaluation_data_sha256:402eab4e9e30fd6f84676378af9c0f9ad8f103d83c7ce2ad1a6d443e8fd6fc08
mlp,314159,16,successor,0.9732,0.9998,0.037,0.981,0.0,0.157,0.0074,0.3218,0.0002,evaluation_data_sha256:3ceb5e0d578a102623cd15cb65958b678e3af13f8d44304c9d316f07818a5ab8,evaluation_data_sha256:402eab4e9e30fd6f84676378af9c0f9ad8f103d83c7ce2ad1a6d443e8fd6fc08
